ovm_0714,	2606.04,	2606.12,	0,
ovm_0721,	3071.44,	2927.27,	0,
ovm_0722,	3391.01,	2927.24,	0,
ovm_0723,	3391.02,	2606.12,	0,
ovm_0724,	3071.41,	2606.11,	0,
ovm_0731,	3534.86,	2927.23,	0,
ovm_0732,	3857.08,	2927.23,	0,
ovm_0733,	3857.12,	2606.11,	0,
ovm_0734,	3534.84,	2606.13,	0,
ovm_0741,	4000.68,	2927.22,	0,
ovm_0742,	4322.63,	2927.16,	0,
ovm_0743,	4322.65,	2606.15,	0,
ovm_0744,	4000.66,	2606.13,	0,
ovm_0751,	4466.5,	2927.24,	0,
ovm_0752,	4786.42,	2927.21,	0,
ovm_0753,	4786.46,	2606.11,	0,
ovm_0754,	4466.48,	2606.13,	0,
ovm_0761,	4930.37,	2927.22,	0,
ovm_0762,	5252.58,	2927.18,	0,
ovm_0763,	5252.63,	2606.12,	0,
ovm_0764,	4930.33,	2606.15,	0,
ovm_0771,	5395.21,	2927.25,	0,
ovm_0772,	5718.97,	2927.1,	0,
ovm_0773,	5719.02,	2606.15,	0,
ovm_0774,	5395.19,	2606.13,	0,
ovm_0791,	278.088,	3391.26,	0,
ovm_0792,	601.899,	3391.41,	0,
ovm_0793,	601.88,	3071.95,	0,
ovm_0794,	278.023,	3071.97,	0,
ovm_0801,	744.514,	3391.36,	0,
ovm_0802,	1066.76,	3391.37,	0,
ovm_0803,	1066.74,	3071.98,	0,
ovm_0804,	744.449,	3071.94,	0,
ovm_0811,	1210.64,	3391.38,	0,
ovm_0812,	1530.61,	3391.41,	0,
ovm_0813,	1530.59,	3071.95,	0,
ovm_0814,	1210.59,	3071.93,	0,
ovm_0821,	1674.42,	3391.35,	0,
ovm_0822,	1996.42,	3391.41,	0,
ovm_0823,	1996.41,	3071.95,	0,
ovm_0824,	1674.41,	3071.98,	0,
ovm_0831,	2139.96,	3391.42,	0,
ovm_0832,	2462.25,	3391.41,	0,
ovm_0833,	2462.23,	3071.95,	0,
ovm_0834,	2139.96,	3071.93,	0,
ovm_0841,	2606.04,	3391.41,	0,
ovm_0842,	2925.68,	3391.44,	0,
ovm_0843,	2925.66,	3071.93,	0,
ovm_0844,	2606.04,	3071.94,	0,
ovm_0851,	3071.39,	3391.43,	0,
ovm_0852,	3391.02,	3391.41,	0,
ovm_0853,	3391.02,	3071.95,	0,
ovm_0854,	3071.41,	3071.93,	0,
ovm_0861,	3534.82,	3391.4,	0,
ovm_0862,	3857.14,	3391.42,	0,
ovm_0863,	3857.13,	3071.93,	0,
ovm_0864,	3534.84,	3071.95,	0,
ovm_0871,	4000.64,	3391.41,	0,
ovm_0872,	4322.66,	3391.34,	0,
ovm_0873,	4322.66,	3071.98,	0,
ovm_0874,	4000.66,	3071.95,	0,
ovm_0881,	4466.47,	3391.41,	0,
ovm_0882,	4786.46,	3391.36,	0,
ovm_0883,	4786.49,	3071.93,	0,
ovm_0884,	4466.48,	3071.95,	0,
ovm_0891,	4930.32,	3391.37,	0,
ovm_0892,	5252.62,	3391.35,	0,
ovm_0893,	5252.66,	3071.94,	0,
ovm_0894,	4930.34,	3071.98,	0,
ovm_0901,	5395.17,	3391.42,	0,
